Question ID,Question Text,Review,Score,Score Binary,Score Combined
Q1,Two teams play a series of games (best of 7) probability...,Basic probability question unrelated to marketing analysis or experimentation,1,0,1
Q2,Say you roll a die three times...,"Irrelevant basic probability question, not aligned with job requirements",1,0,1
Q3,You roll three dice probability question...,Basic probability with no connection to role requirements,1,0,1
Q4,Assume you have a deck of 100 cards...,Elementary probability question unrelated to marketing analysis,1,0,1
Q5,Imagine you are in a 3D space...,Combinatorics problem unrelated to marketing or experimentation,1,0,1
Q6,One in a thousand people have a disease...,Tests Bayes theorem but not marketing related,2,1,4
Q7,Assume two coins one fair one unfair...,Basic probability unrelated to marketing analysis,1,0,1
Q8,Players A and B playing game with biased coin...,Probability question not relevant to role,1,0,1
Q9,Three friends in Seattle each told you it is rainy...,Conditional probability unrelated to job requirements,1,1,3
Q10,You draw a circle and choose two chords...,Geometric probability unrelated to role requirements,1,0,1
Q11,You and friend playing game with coin sequences...,Basic probability unrelated to marketing analysis,1,0,1
Q12,Game with 6-sided die expected value...,Basic probability without marketing context,1,0,1
Q13,Facebook content team labels spam question...,Tests Bayes with content relevance but not marketing focused,2,1,4
Q14,Couple has two children probability...,Basic probability unrelated to role requirements,1,0,1
Q15,Desk with eight drawers probability...,Basic conditional probability unrelated to role,1,0,1
Q16,Tennis match probability question...,Basic probability without marketing context,1,0,1
Q17,Deck of 50 cards color and number probability...,Elementary probability unrelated to role,1,0,1
Q18,Ten fair dice sum probability...,Complex probability but not relevant to role,1,0,1
Q19,Game with die toss and payment...,Expected value calculation unrelated to role,1,0,1
Q20,Unfair coin generating fair odds...,Probability theory unrelated to marketing analysis,1,1,3
Q21,White cube painted green probability...,Geometric probability unrelated to role,1,0,1
Q22,Stick broken into three parts triangle...,Geometric probability not relevant to role,1,0,1
Q23,Random sequence HHT vs HTT...,Basic probability unrelated to marketing analysis,1,0,1
Q24,Fair coin tossed twice probability...,Basic probability without marketing context,1,1,3
Q25,Three ants on triangle corners...,Complex probability unrelated to role requirements,1,0,1
Q26,Biased coin even heads recurrence...,Advanced probability unrelated to marketing,1,0,1
Q27,Game with Alice and Bob winning probability...,Basic probability without marketing context,1,0,1
Q28,Three draws median probability...,Statistical probability unrelated to role,1,1,3
Q29,150 friends phone numbers probability...,Applied probability unrelated to role,1,0,1
Q30,Fair die rolled n times largest number...,Probability theory without marketing context,1,0,1
Q31,Jar with amoeba probability question...,Complex probability unrelated to role,1,0,1
Q32,Fair coin n tosses k heads probability...,Basic probability unrelated to marketing,1,0,1
Q33,Normal distribution draws probability...,Statistical probability partially relevant to analysis,2,1,4
Q34,Three points on circle triangle probability...,Geometric probability unrelated to role,1,0,1
Q35,Red and white balls in bag probability...,Basic probability unrelated to role requirements,1,0,1
Q36,Explain Central Limit Theorem...,Core statistical concept relevant to experimentation,4,1,6
Q37,Explain confidence interval...,Key concept for measurement and stakeholder communication,4,1,6
Q38,Common pitfalls in A/B testing...,Directly relevant to experimental design requirements,4,1,6
Q39,Explain covariance and correlation...,Statistical concepts relevant to analysis work,3,1,5
Q40,Coin flip hypothesis testing...,Demonstrates understanding of experimental testing,3,1,5
Q41,Describe hypothesis testing...,Core concept for experimentation and measurement,4,1,6
