method,top_n,question_order,match_scores,evaluation_scores,binary_scores,combined_scores,normalized_binary_score,normalized_score,normalized_combined_score,job_number
original,10,"[38, 138, 68, 180, 99, 44, 188, 184, 142, 152]","[0.8978445068318865, 0.8559200478535305, 0.8206552774764806, 0.8100364384440768, 0.7815092960192733, 0.7636120370890414, 0.7574873999754053, 0.7231919544638346, 0.6926974744485026, 0.6881584074990039]","[4, 3, 3, 4, 4, 4, 4, 4, 4, 1]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0]","[6, 5, 3, 6, 4, 6, 6, 6, 6, 1]",0.7,0.875,0.8166666666666667,1
reranked,10,"[68, 140, 172, 38, 99, 193, 45, 120, 185, 107]","[2.8967786, 2.4921722, 2.336418, 1.4099442, 1.1464825, 0.19648242, -0.6623515, -0.70953906, -0.8643567, -1.6105053]","[3, 4, 1, 4, 4, 4, 4, 4, 4, 3]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 0]","[3, 6, 1, 6, 4, 6, 6, 6, 6, 3]",0.6,0.875,0.7833333333333333,1
original,15,"[38, 138, 68, 180, 99, 44, 188, 184, 142, 152, 181, 123, 15, 83, 54]","[0.8978445068318865, 0.8559200478535305, 0.8206552774764806, 0.8100364384440768, 0.7815092960192733, 0.7636120370890414, 0.7574873999754053, 0.7231919544638346, 0.6926974744485026, 0.6881584074990039, 0.8882352727666267, 0.8451088237380309, 0.7823696138324123, 0.7756477449867079, 0.7379335439524977]","[4, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4, 3, 1, 4, 3]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1]","[6, 5, 3, 6, 4, 6, 6, 6, 6, 1, 6, 3, 1, 6, 5]",0.6666666666666666,0.8333333333333334,0.7777777777777778,1
reranked,15,"[68, 140, 172, 38, 99, 193, 45, 120, 185, 107, 51, 171, 181, 138, 83]","[2.8967786, 2.4921722, 2.336418, 1.4099442, 1.1464825, 0.19648242, -0.6623515, -0.70953906, -0.8643567, -1.6105053, 2.88178, 1.6051171, 0.7998994, 0.763521, 0.6753664]","[3, 4, 1, 4, 4, 4, 4, 4, 4, 3, 2, 1, 4, 3, 4]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]","[3, 6, 1, 6, 4, 6, 6, 6, 6, 3, 4, 1, 6, 5, 6]",0.6666666666666666,0.8166666666666667,0.7666666666666667,1
original,20,"[38, 138, 68, 180, 99, 44, 188, 184, 142, 152, 181, 123, 15, 83, 54, 78, 159, 72, 178, 112]","[0.8978445068318865, 0.8559200478535305, 0.8206552774764806, 0.8100364384440768, 0.7815092960192733, 0.7636120370890414, 0.7574873999754053, 0.7231919544638346, 0.6926974744485026, 0.6881584074990039, 0.8882352727666267, 0.8451088237380309, 0.7823696138324123, 0.7756477449867079, 0.7379335439524977, 0.7136089836583915, 0.6867647814050383, 0.6865695521330485, 0.8434947407762969, 0.843386941909744]","[4, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4, 3, 1, 4, 3, 4, 1, 4, 4, 4]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1]","[6, 5, 3, 6, 4, 6, 6, 6, 6, 1, 6, 3, 1, 6, 5, 6, 1, 6, 6, 6]",0.7,0.8375,0.7916666666666666,1
reranked,20,"[68, 140, 172, 38, 99, 193, 45, 120, 185, 107, 51, 171, 181, 138, 83, 190, 44, 179, 37, 116]","[2.8967786, 2.4921722, 2.336418, 1.4099442, 1.1464825, 0.19648242, -0.6623515, -0.70953906, -0.8643567, -1.6105053, 2.88178, 1.6051171, 0.7998994, 0.763521, 0.6753664, -0.81463826, -1.1982433, -1.3887814, -1.6217608, -2.0070171]","[3, 4, 1, 4, 4, 4, 4, 4, 4, 3, 2, 1, 4, 3, 4, 3, 4, 3, 4, 3]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1]","[3, 6, 1, 6, 4, 6, 6, 6, 6, 3, 4, 1, 6, 5, 6, 3, 6, 3, 6, 5]",0.65,0.825,0.7666666666666667,1
original,25,"[38, 138, 68, 180, 99, 44, 188, 184, 142, 152, 181, 123, 15, 83, 54, 78, 159, 72, 178, 112, 140, 116, 117, 129, 135]","[0.8978445068318865, 0.8559200478535305, 0.8206552774764806, 0.8100364384440768, 0.7815092960192733, 0.7636120370890414, 0.7574873999754053, 0.7231919544638346, 0.6926974744485026, 0.6881584074990039, 0.8882352727666267, 0.8451088237380309, 0.7823696138324123, 0.7756477449867079, 0.7379335439524977, 0.7136089836583915, 0.6867647814050383, 0.6865695521330485, 0.8434947407762969, 0.843386941909744, 0.810436187853834, 0.8099824908827402, 0.8033392497072545, 0.7950955939956563, 0.7906103304140186]","[4, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4, 3, 1, 4, 3, 4, 1, 4, 4, 4, 4, 3, 3, 3, 4]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]","[6, 5, 3, 6, 4, 6, 6, 6, 6, 1, 6, 3, 1, 6, 5, 6, 1, 6, 6, 6, 6, 5, 5, 3, 6]",0.72,0.84,0.8,1
reranked,25,"[68, 140, 172, 38, 99, 193, 45, 120, 185, 107, 51, 171, 181, 138, 83, 190, 44, 179, 37, 116, 15, 64, 73, 30, 41]","[2.8967786, 2.4921722, 2.336418, 1.4099442, 1.1464825, 0.19648242, -0.6623515, -0.70953906, -0.8643567, -1.6105053, 2.88178, 1.6051171, 0.7998994, 0.763521, 0.6753664, -0.81463826, -1.1982433, -1.3887814, -1.6217608, -2.0070171, 2.617492, 1.6880076, 1.6380582, 1.6237875, 1.6025118]","[3, 4, 1, 4, 4, 4, 4, 4, 4, 3, 2, 1, 4, 3, 4, 3, 4, 3, 4, 3, 1, 4, 3, 3, 4]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]","[3, 6, 1, 6, 4, 6, 6, 6, 6, 3, 4, 1, 6, 5, 6, 3, 6, 3, 6, 5, 1, 6, 3, 5, 6]",0.64,0.81,0.7533333333333333,1
original,10,"[123, 133, 37, 140, 138, 71, 184, 99, 180, 112]","[0.87241209525543, 0.7540553490090407, 0.7307948918704874, 0.7018432623702422, 0.6859721915151331, 0.673970271407408, 0.6707278239721546, 0.6701816350390162, 0.668616681267776, 0.8560287195942979]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 1]","[6, 6, 6, 6, 4, 6, 4, 4, 4, 6]",0.6,1.0,0.8666666666666667,2
reranked,10,"[123, 138, 185, 192, 86, 137, 189, 145, 117, 116]","[1.8721101, 0.2195545, -0.6282284, -2.1542416, -2.7419403, -2.842053, -3.2689602, -4.4038763, 0.92767906, -0.5218258]","[4, 4, 4, 4, 4, 4, 4, 3, 4, 4]","[1, 0, 0, 0, 1, 0, 1, 1, 1, 0]","[6, 4, 4, 4, 6, 4, 6, 5, 6, 4]",0.5,0.975,0.8166666666666667,2
