method,top_n,question_order,match_scores,evaluation_scores,binary_scores,combined_scores,normalized_binary_score,normalized_score,normalized_combined_score,job_number
original,10,"[78, 37, 38, 180, 79, 99, 200, 181, 82, 63]","[0.5372843095368502, 0.5288644454957225, 0.5217357539753372, 0.5203482174317134, 0.4730004768437198, 0.4377119708114541, 0.4593873255182026, 0.45859079213477155, 0.4580324631389231, 0.452902053748236]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[6, 6, 6, 6, 6, 4, 6, 6, 6, 6]",0.9,1.0,0.9666666666666667,1
reranked,10,"[101, 38, 37, 83, 76, 82, 188, 180, 43, 78]","[-3.036528, -3.9208477, -4.4231176, -5.486643, -7.655045, -7.9497557, -8.813511, -9.259258, -10.225856, -3.4206169]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,1.0,1.0,1
original,15,"[78, 37, 38, 180, 79, 99, 200, 181, 82, 63, 83, 101, 186, 193, 177]","[0.5372843095368502, 0.5288644454957225, 0.5217357539753372, 0.5203482174317134, 0.4730004768437198, 0.4377119708114541, 0.4593873255182026, 0.45859079213477155, 0.4580324631389231, 0.452902053748236, 0.4225929447638359, 0.379799730948125, 0.37648024173569916, 0.45559004775554157, 0.4385356486639519]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.9333333333333333,1.0,0.9777777777777777,1
reranked,15,"[101, 38, 37, 83, 76, 82, 188, 180, 43, 78, 41, 200, 63, 186, 199]","[-3.036528, -3.9208477, -4.4231176, -5.486643, -7.655045, -7.9497557, -8.813511, -9.259258, -10.225856, -3.4206169, -6.0063906, -8.689255, -8.883672, -9.440207, -9.447159]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4]",0.9333333333333333,1.0,0.9777777777777777,1
original,20,"[78, 37, 38, 180, 79, 99, 200, 181, 82, 63, 83, 101, 186, 193, 177, 41, 196, 45, 145, 178]","[0.5372843095368502, 0.5288644454957225, 0.5217357539753372, 0.5203482174317134, 0.4730004768437198, 0.4377119708114541, 0.4593873255182026, 0.45859079213477155, 0.4580324631389231, 0.452902053748236, 0.4225929447638359, 0.379799730948125, 0.37648024173569916, 0.45559004775554157, 0.4385356486639519, 0.43632138894776706, 0.43054973723852175, 0.4205887144694275, 0.41764609262904273, 0.41361279823453756]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6]",0.9,0.9875,0.9583333333333334,1
reranked,20,"[101, 38, 37, 83, 76, 82, 188, 180, 43, 78, 41, 200, 63, 186, 199, 131, 181, 178, 45, 107]","[-3.036528, -3.9208477, -4.4231176, -5.486643, -7.655045, -7.9497557, -8.813511, -9.259258, -10.225856, -3.4206169, -6.0063906, -8.689255, -8.883672, -9.440207, -9.447159, -4.3171473, -6.333782, -6.6081467, -7.5732155, -7.658359]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 3, 6, 6, 6, 3]",0.85,0.975,0.9333333333333333,1
original,25,"[78, 37, 38, 180, 79, 99, 200, 181, 82, 63, 83, 101, 186, 193, 177, 41, 196, 45, 145, 178, 91, 44, 71, 191, 131]","[0.5372843095368502, 0.5288644454957225, 0.5217357539753372, 0.5203482174317134, 0.4730004768437198, 0.4377119708114541, 0.4593873255182026, 0.45859079213477155, 0.4580324631389231, 0.452902053748236, 0.4225929447638359, 0.379799730948125, 0.37648024173569916, 0.45559004775554157, 0.4385356486639519, 0.43632138894776706, 0.43054973723852175, 0.4205887144694275, 0.41764609262904273, 0.41361279823453756, 0.40095282987150027, 0.3899041520183333, 0.375303075704015, 0.37184034607970684, 0.36984771495616886]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0]","[6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 4, 6, 6, 3, 3]",0.8,0.97,0.9133333333333333,1
reranked,25,"[101, 38, 37, 83, 76, 82, 188, 180, 43, 78, 41, 200, 63, 186, 199, 131, 181, 178, 45, 107, 90, 99, 145, 80, 79]","[-3.036528, -3.9208477, -4.4231176, -5.486643, -7.655045, -7.9497557, -8.813511, -9.259258, -10.225856, -3.4206169, -6.0063906, -8.689255, -8.883672, -9.440207, -9.447159, -4.3171473, -6.333782, -6.6081467, -7.5732155, -7.658359, -7.9699235, -8.731149, -8.958998, -9.276476, -9.628484]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 3, 6, 6, 6, 3, 6, 4, 3, 6, 6]",0.8,0.97,0.9133333333333333,1
original,10,"[37, 79, 177, 91, 180, 188, 145, 45, 99, 83]","[0.5183163877046746, 0.4754388583688005, 0.4585327828649176, 0.4412840809009762, 0.41048755681963284, 0.38909932109910916, 0.38226590351513373, 0.45468839773704706, 0.428425500990301, 0.38598843922780113]","[4, 4, 4, 4, 4, 4, 3, 4, 4, 4]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]","[6, 6, 4, 4, 4, 4, 5, 6, 4, 6]",0.5,0.975,0.8166666666666667,2
reranked,10,"[37, 105, 83, 200, 82, 79, 91, 195, 94, 128]","[-1.8348833, -5.1031055, -6.0013485, -9.618782, -10.881063, -11.153941, -7.2074885, -7.780712, -8.413347, -10.075546]","[4, 3, 4, 4, 4, 4, 4, 3, 4, 3]","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[6, 3, 6, 4, 6, 6, 4, 3, 4, 3]",0.4,0.925,0.75,2
